"product_id","product_name","avg_rating","units_sold","revenue"
"391","Product_391","1.9","7370","3650361.0"
"523","Product_523","2.4","7351","3566043.6100000003"
"113","Product_113","1.9","7567","3520168.4"
"752","Product_752","1.9","7484","3519126.4800000004"
"227","Product_227","2.6","7171","3489695.44"
"848","Product_848","1.8","6956","3467218.1999999993"
"676","Product_676","2.2","7038","3457628.6399999997"
"70","Product_70","2.1","6999","3454076.49"
"948","Product_948","1.6","7648","3445500.48"
"924","Product_924","2.4","8525","3417928.25"
"265","Product_265","1.0","7442","3269270.5999999996"
"615","Product_615","2.3","7370","3223785.4"
"412","Product_412","1.4","6759","3212417.52"
"337","Product_337","1.8","7467","3199236.1499999994"
"397","Product_397","2.7","7355","3161988.0500000003"
"220","Product_220","2.1","7325","3115835.25"
"413","Product_413","2.1","6550","3114852.5"
"499","Product_499","2.5","6257","3049223.81"
"248","Product_248","1.1","6252","3022779.48"
"679","Product_679","1.7","6192","3002438.8800000004"
"74","Product_74","1.1","7311","2987640.1499999994"
"489","Product_489","2.6","6259","2975841.5500000003"
"892","Product_892","2.6","6905","2959275.85"
"821","Product_821","1.8","7339","2953286.99"
"721","Product_721","1.6","6288","2952090.2400000007"
"525","Product_525","2.9","7002","2940629.9400000004"
"531","Product_531","2.2","7193","2930356.2700000005"
"446","Product_446","1.7","6171","2924375.19"
"490","Product_490","2.8","6559","2923215.1199999996"
"117","Product_117","1.4","7243","2917625.26"
"359","Product_359","2.1","6175","2904781.75"
"685","Product_685","1.5","6207","2886503.2800000007"
"869","Product_869","1.5","6676","2881228.08"
"257","Product_257","1.8","6138","2875039.1999999997"
"379","Product_379","2.4","7039","2873038.2399999998"
"768","Product_768","2.9","6503","2854817.0"
"390","Product_390","2.8","7053","2852092.1399999997"
"119","Product_119","2.1","6363","2843115.6599999997"
"474","Product_474","2.6","6358","2836430.96"
"582","Product_582","2.6","5746","2816229.52"
"482","Product_482","1.5","8027","2804633.8"
"759","Product_759","1.4","6236","2790485.2800000003"
"724","Product_724","1.4","7481","2781809.85"
"746","Product_746","2.9","6163","2775137.27"
"442","Product_442","1.4","5623","2774331.97"
"266","Product_266","1.3","7452","2769759.36"
"56","Product_56","2.4","5980","2758753.4"
"127","Product_127","1.3","6678","2737445.7600000007"
"711","Product_711","1.6","7149","2725985.19"
"949","Product_949","2.3","6226","2724373.0799999996"
"160","Product_160","1.1","7451","2723116.97"
"277","Product_277","2.0","6782","2713885.12"
"519","Product_519","2.0","5472","2701526.4"
"632","Product_632","2.4","6028","2701327.6399999997"
"377","Product_377","2.8","6379","2699656.59"
"253","Product_253","1.5","6281","2677653.1099999994"
"537","Product_537","1.7","6271","2668812.1799999997"
"555","Product_555","1.9","6070","2664365.8000000003"
"326","Product_326","2.3","7190","2662169.4"
"576","Product_576","1.4","5585","2652930.8499999996"
"419","Product_419","2.8","7839","2648798.1"
"796","Product_796","1.3","6064","2648148.8"
"297","Product_297","1.7","6849","2644741.3499999996"
"71","Product_71","2.2","6766","2620201.1599999997"
"575","Product_575","1.9","6019","2599425.5300000003"
"536","Product_536","1.5","5489","2594430.74"
"837","Product_837","1.5","5638","2581358.3000000003"
"34","Product_34","1.5","5433","2579045.1"
"898","Product_898","1.8","5741","2575929.29"
"779","Product_779","2.0","7041","2544758.22"
"486","Product_486","2.5","5637","2542681.59"
"800","Product_800","1.0","5477","2528402.2800000003"
"770","Product_770","2.6","6127","2521383.04"
"514","Product_514","1.1","5806","2518062.2"
"157","Product_157","1.6","7440","2512562.3999999994"
"384","Product_384","2.0","5700","2504295.0"
"906","Product_906","1.8","5553","2481469.11"
"535","Product_535","2.7","6434","2481272.1"
"817","Product_817","2.2","8326","2478483.6799999997"
"654","Product_654","2.4","6624","2477309.7600000002"
"421","Product_421","2.3","6230","2472250.9000000004"
"919","Product_919","2.6","6438","2465625.24"
"274","Product_274","1.2","5388","2462585.4000000004"
"504","Product_504","2.4","5999","2446572.170000001"
"505","Product_505","2.5","7102","2442661.88"
"193","Product_193","2.4","5357","2414453.47"
"561","Product_561","2.4","6828","2413834.5599999996"
"738","Product_738","1.8","5846","2392300.12"
"406","Product_406","2.9","5334","2391125.5199999996"
"840","Product_840","1.9","7484","2379687.4800000004"
"717","Product_717","1.2","5717","2379186.72"
"362","Product_362","1.8","7348","2376563.64"
"750","Product_750","1.5","7552","2371328.0"
"315","Product_315","2.8","5632","2358737.92"
"734","Product_734","2.7","8914","2352582.8800000004"
"542","Product_542","1.4","7614","2322726.8399999994"
"35","Product_35","1.3","4794","2315454.06"
"814","Product_814","1.1","4999","2303639.1799999997"
"309","Product_309","2.4","5757","2294855.34"
"706","Product_706","1.4","4628","2290998.84"
"753","Product_753","1.0","7207","2275394.0400000005"
"128","Product_128","2.6","5240","2258754.4"
"681","Product_681","2.4","5508","2255250.6"
"322","Product_322","1.6","6276","2251326.72"
"967","Product_967","1.7","6221","2245345.53"
"213","Product_213","1.7","6816","2233739.52"
"502","Product_502","2.9","8256","2232174.72"
"962","Product_962","2.6","7318","2221452.08"
"726","Product_726","1.2","5260","2218194.6"
"279","Product_279","1.6","6293","2218093.71"
"436","Product_436","1.1","6245","2198115.1000000006"
"572","Product_572","1.7","5592","2197152.7199999997"
"971","Product_971","1.1","6570","2191226.3999999994"
"597","Product_597","2.1","6489","2176670.16"
"163","Product_163","2.3","6831","2176356.6000000006"
"290","Product_290","1.3","7285","2166996.0999999996"
"708","Product_708","1.9","5337","2166234.93"
"347","Product_347","2.4","6768","2161496.16"
"999","Product_999","1.2","4546","2161032.02"
"475","Product_475","2.3","8085","2152307.8499999996"
"76","Product_76","2.7","5868","2146866.48"
"468","Product_468","2.6","4901","2131738.96"
"808","Product_808","1.7","4596","2128683.36"
"463","Product_463","1.4","5650","2114738.5"
"68","Product_68","1.4","5196","2089259.6399999997"
"951","Product_951","1.4","6910","2088616.5999999999"
"942","Product_942","2.3","7474","2087637.6799999997"
"766","Product_766","2.3","7253","2082336.3000000003"
"521","Product_521","1.2","6911","2067010.9899999998"
"402","Product_402","1.7","4552","2056411.5199999998"
"350","Product_350","1.2","6501","2046514.8"
"77","Product_77","2.5","5279","2041811.6199999999"
"26","Product_26","2.9","5160","2031285.5999999999"
"973","Product_973","2.1","5511","2025953.8199999996"
"162","Product_162","1.5","6352","2019872.48"
"39","Product_39","1.3","5756","1978337.2"
"236","Product_236","2.5","5415","1963533.1500000001"
"524","Product_524","1.4","4628","1952321.8"
"748","Product_748","2.0","7092","1943633.52"
"885","Product_885","1.6","4846","1943052.16"
"259","Product_259","1.3","6761","1941623.98"
"386","Product_386","2.3","4809","1936680.4800000004"
"321","Product_321","2.0","6957","1926184.5899999999"
"952","Product_952","1.9","5750","1921592.5"
"382","Product_382","2.6","5468","1913143.8400000003"
"327","Product_327","1.7","6811","1903061.5100000002"
"566","Product_566","2.7","6274","1863440.7399999998"
"288","Product_288","2.4","6790","1857811.9000000001"
"915","Product_915","2.8","6669","1855715.94"
"781","Product_781","1.2","5321","1854368.5"
"208","Product_208","2.8","5561","1854204.2299999997"
"296","Product_296","1.8","6985","1840617.3499999999"
"693","Product_693","2.6","7170","1837455.8999999997"
"842","Product_842","2.7","5507","1836309.15"
"200","Product_200","1.5","4682","1830849.2799999998"
"712","Product_712","1.2","6037","1810134.0799999996"
"120","Product_120","1.5","6644","1806968.6800000002"
"276","Product_276","1.4","7123","1803899.75"
"985","Product_985","1.5","4931","1802033.95"
"637","Product_637","2.6","6703","1800760.9500000002"
"659","Product_659","2.6","5528","1795107.44"
"568","Product_568","1.4","8097","1793890.3500000003"
"977","Product_977","2.0","5903","1768302.6800000002"
"222","Product_222","1.6","6146","1759661.26"
